项目地址,项目说明,语言
https://github.com/cocoindex-io/cocoindex,CocoIndex 是一个面向 AI 的高性能数据转换框架，专为 LLM 应用和 AI Agent 提供持续新鲜的上下文数据。核心引擎采用 Rust 编写，内置增量处理和数据血缘追踪功能，极大提升了 AI 数据管道的开发效率。支持代码库、会议记录、邮件、Slack、PDF、视频等多种数据源接入。从第一天起即可投入生产使用，大幅降低 AI 应用的数据基础建设成本。,Rust / Python
https://github.com/tursodatabase/turso,Turso Database 是用 Rust 从头构建的下一代 SQLite 兼容进程内 SQL 数据库引擎。目标是在保持 SQLite 兼容性的同时，提供更高性能、更丰富特性（如云同步）的数据存储方案。当前处于 BETA 阶段，适合追求高性能本地数据库解决方案的 Rust 开发者尝鲜。,Rust
https://github.com/datawhalechina/hello-agents,Hello-Agents 是 Datawhale 社区推出的系统性 AI Agent 学习教程，覆盖从零开始构建智能体系统的完整知识体系。教程兼顾理论与实战，适合希望掌握 Agent 开发的开发者和研究者。在 2025 年 Agent 元年背景下，填补了中文社区缺乏系统性 Agent 实践教程的空白。内容持续更新，并接受社区贡献。,Python
https://github.com/trimstray/the-book-of-secret-knowledge,The Book of Secret Knowledge 是一个面向系统管理员、DevOps 工程师和网络安全专家的超级知识库，汇集了大量实用列表、手册、速查表、命令行工具和黑客技巧。涵盖 Linux 操作、Web 安全、网络管理、DevOps 最佳实践等广泛技术领域，是开发者日常工作中不可或缺的参考资源。GitHub 星标超过 115k，是程序员必收藏的开源宝库之一。,无（文档类）
https://github.com/ZJU-LLMs/Foundations-of-LLMs,《大语言模型基础》是浙江大学 LLMs 团队出品的开源教材，系统讲解大语言模型的核心技术原理与工程实践。内容覆盖 Transformer 架构、预训练、微调、RLHF、RAG 等关键技术，适合高校学生、研究人员和工程师深入学习 LLM 全栈知识。,无（文档类）
https://github.com/anthropics/skills,Anthropic 官方发布的 Claude Code 技能（Skills）集合，提供可用于扩展 Claude Code 能力的官方示例技能包。帮助开发者学习如何为 Claude Code 编写自定义技能，覆盖多种实际工程场景。,无（配置/文档类）
https://github.com/apurvsinghgautam/robin,Robin 是一个轻量级 AI Agent 框架，专注于构建简洁、可扩展的 AI 助手工作流。支持工具调用、多步推理等 Agent 核心能力，适合快速搭建自定义 AI 自动化任务。,Python
https://github.com/Shubhamsaboo/awesome-llm-apps,Awesome LLM Apps 是一个精心整理的 LLM 应用案例集合，收录了基于 GPT、Claude、Gemini 等主流大模型构建的各类实用 AI 应用。每个案例均附带完整代码和教程，涵盖 RAG、AI Agent、多模态应用等热门方向，是学习 LLM 应用开发的绝佳参考仓库。,Python
https://github.com/NanmiCoder/MediaCrawler,MediaCrawler 是一款支持多平台社交媒体数据采集的开源爬虫工具，支持小红书、微博、抖音、B 站、知乎等主流平台的内容抓取。基于 Python 和 Playwright 实现，支持关键词搜索、用户主页、评论区等多维度数据采集，是舆情分析和市场研究的利器。,Python
https://github.com/shareAI-lab/learn-claude-code,learn-claude-code 是一个专注于 Claude Code 使用技巧和最佳实践的学习资源库，帮助开发者快速上手 Anthropic 的 AI 编程助手工具。包含各类实战示例、配置技巧和使用教程，适合希望提升 AI 辅助编程效率的开发者。,无（文档类）
