项目地址,项目说明(3-5句话),语言
https://github.com/cocoindex-io/cocoindex,CocoIndex是一个AI代码智能平台，提供代码检索和语义搜索能力。它帮助开发者通过自然语言查询快速找到代码片段和函数实现，支持多种编程语言的代码分析和索引。该项目提供了SDK和API接口，方便集成到开发工作流中，为团队协作和知识复用提供支持。,Python
https://github.com/tursodatabase/turso,Turso是一个边缘数据库，基于LibSQL（SQLite的分支）构建。它提供全球分布式的数据库部署能力，支持嵌入式数据库和传统服务器模式。通过libsql客户端库，开发者可以在各种编程语言中使用SQL进行数据操作，适合构建需要低延迟的应用程序。,Python
https://github.com/datawhalechina/hello-agents,Datawhale开源的AI Agent入门教程项目，通过实践案例帮助学习者理解Agent的核心概念和工作原理。内容涵盖Agent的基础架构、工具调用、记忆管理和多Agent协作等主题，适合希望入门AI Agent开发的初学者。,Python
https://github.com/trimstray/the-book-of-secret-knowledge,《秘密知识之书》是一个系统管理员和网络安全从业者的知识宝库，收集整理了大量命令行工具、系统配置、网络诊断和安全审计的参考资料。内容包括Linux系统管理、容器化、网络工具和开发环境配置等实用知识，是运维工程师的日常参考手册。,Shell
https://github.com/ZJU-LLMs/Foundations-of-LLMs,浙江大学开源的大语言模型基础课程，系统讲解LLM的核心技术包括Transformer架构、预训练方法、微调技术和推理优化等。课程包含理论讲解和代码实践，帮助研究者和开发者全面掌握大模型技术原理。,Python
https://github.com/anthropics/skills,Anthropic官方发布的Claude技能库，提供一系列预配置的AI技能用于自动化任务执行。每个技能以SKILL.md文件形式定义，包含技能描述、触发条件和执行逻辑，可用于增强Claude的工作能力。,Python
https://github.com/apurvsinghgautam/robin,Robin是一个AI代理框架，专注于简化多步骤自动化任务的编排和执行。它提供模块化的工具调用接口，支持复杂工作流的灵活配置，适合构建需要调用多种外部服务的AI应用。,Python
https://github.com/Shubhamsaboo/awesome-llm-apps,awesome-llm-apps是一个精选的大语言模型应用集合，收录了基于LLM构建的各种创新应用案例。包括聊天机器人、代码助手、数据分析工具等，每个案例都包含实现思路和技术栈说明。,Python
https://github.com/NanmiCoder/MediaCrawler,MediaCrawler是一个社交媒体数据采集工具，支持从多个平台获取帖子、评论和用户信息。它提供反爬策略应对和代理IP池管理功能，适合需要进行公开数据研究的开发者和分析师。,Python
https://github.com/shareAI-lab/learn-claude-code,Learn Claude Code是由ShareAI Lab开发的Claude Code学习项目，提供系统化的教程帮助开发者快速上手AI编程助手。项目包含基础使用指南、进阶技巧和实战案例。,Python
https://github.com/anthropics/claude-code-action,Claude Code Action是Anthropic官方提供的GitHub Action，用于在CI/CD流程中集成Claude Code能力。它可以自动化代码审查、文档生成和测试编写等开发任务，提升团队协作效率。,TypeScript
https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools MCP是一个Model Context Protocol服务器，实现AI代理与Chrome开发者工具的集成。它允许AI助手直接读取网页内容、执行JavaScript和调试Web应用，为前端开发提供智能化支持。,TypeScript
https://github.com/patchy631/ai-engineering-hub,AI Engineering Hub是一个AI工程实践资源库，汇集了机器学习模型部署、微服务架构和云原生开发的相关教程。内容涵盖从模型训练到生产的全流程指导，适合希望提升AI工程能力的开发者。,Python
https://github.com/MiroMindAI/MiroThinker,MiroThinker是一个AI思考框架，专注于提升大语言模型的推理能力。它提供结构化的思维链工具和决策树组件，帮助AI系统进行更复杂的逻辑分析和问题分解。,Python
https://github.com/HKUDS/VideoRAG,VideoRAG是香港大学开源的视频检索增强生成系统，专门处理视频内容的理解与问答。它结合视频帧采样、语音识别和视觉分析，为多模态AI应用提供视频理解能力。,Python
https://github.com/netbirdio/netbird,NetBird是一个开源的零信任网络解决方案，通过WireGuard协议实现安全的设备间通信。它提供自动化的网络配置和身份认证，支持企业构建安全的内网访问方案。,Go
https://github.com/C4illin/ConvertX,ConvertX是一个多功能转换工具，支持文件格式转换、编码转换和文档处理等多种操作。它提供简洁的命令行界面，适合需要批量处理文件的开发者和运维人员。,Go
https://github.com/bytedance/UI-TARS-desktop,UI-TARS-desktop是字节跳动开源的桌面控制智能体，基于视觉语言模型实现自然语言操控电脑。用户可以通过文字指令让AI自动操作桌面应用、填写表单和处理文件，降低重复性工作的负担。,Python
https://github.com/Johnshall/Shadowrocket-ADBlock-Rules-Forever,Shadowrocket-ADBlock-Rules-Forever是针对iOS翻墙工具Shadowrocket的广告屏蔽规则集。规则由GFWList自动转换生成，每日定时更新，支持广告过滤和国内外网站分流，提高移动端上网体验。,Python
https://github.com/hacksider/Deep-Live-Cam,Deep-Live-Cam是一个基于深度学习的实时换脸工具，仅需单张图片即可在视频或直播中进行人脸替换。它支持GPU加速和多平台运行，适用于内容创作和视频特效制作，需注意伦理使用规范。,Python
https://github.com/gyoridavid/ai_agents_az,AI Agents A-Z是一套完整的AI代理工作流模板，通过n8n实现从事件检测到响应处理的自动化流程。项目涵盖事件管理、风险控制和监控告警等功能，适合企业构建智能运维系统。,JavaScript
https://github.com/OpenBMB/ChatDev,ChatDev是清华大学和面壁智能联合开发的多智能体软件开发框架，用户输入自然语言描述即可生成完整可运行的软件。它模拟了一个由多个AI角色组成的虚拟公司，自动化完成从设计到编码的全流程。,Python
https://github.com/chidiwilliams/buzz,Buzz是一款基于OpenAI Whisper模型的离线音频转录工具，支持多语言语音识别和实时麦克风转录。它在本地处理音频数据，保护用户隐私，适合需要将会议、访谈内容转化为文字的用户。,Python
https://github.com/grab/cursor-talk-to-figma-mcp,Cursor Talk to Figma MCP是由Grab开发的Model Context Protocol集成工具，实现AI编辑器Cursor与设计工具Figma的互联互通。它让AI能够直接读取Figma设计稿并修改图层属性，提升设计与开发协作效率。,TypeScript
https://github.com/rancher/rancher,Rancher是一个开源的企业级Kubernetes管理平台，支持跨云和本地数据中心的集群统一管理。它提供直观的Web界面和API，用于集群部署、监控告警和权限控制，简化企业级容器编排的运维工作。,Go
https://github.com/cilium/cilium,Cilium是一个基于eBPF技术的云原生网络和安全方案，为Kubernetes提供高性能的网络连接、负载均衡和安全策略。它替代传统的iptables，提供更细粒度的网络观测和安全隔离能力。,Go
https://github.com/wavetermdev/waveterm,WaveTerm是一个开源的跨平台终端模拟器，采用Go语言后端加React前端构建。它支持AI集成、持久SSH会话和分屏管理，提供现代化的命令行工作环境，显著提升开发者终端使用体验。,Go
https://github.com/ComposioHQ/awesome-claude-skills,Awesome Claude Skills是一个精选的Claude AI技能和插件集合，包含1000多个生产级技能用于扩展Claude的工作能力。它通过Composio集成支持连接500多个外部应用，覆盖内容研究、代码开发、数据分析等多个场景。,Python
https://github.com/nautechsystems/nautilus_trader,NautilusTrader是一个高性能算法交易框架，采用Rust核心配合Python接口设计。它提供事件驱动的回测引擎和确定性执行能力，支持加密货币和传统金融市场的策略开发和实盘交易，适合量化交易研究者使用。,Rust
https://github.com/DataTalksClub/data-engineering-zoomcamp,Data Engineering Zoomcamp是DataTalksClub开源的数据工程学习课程，系统教授数据管道构建、workflow编排和数据分析等技能。课程使用现代工具如Airflow、Spark和dbt，适合希望成为数据工程师的学习者。,Python
https://github.com/alirezarezvani/claude-skills,Claude-skills是一个Claude Code技能集合，提供代码审查、重构建议和测试生成等开发辅助功能。它帮助开发者提升编程效率，通过AI自动化完成常见的代码维护任务。,Shell
https://github.com/lukasz-madon/awesome-remote-job,Awesome Remote Job是一个远程工作资源合集，收录了远程公司列表、招聘平台和协作工具。它为寻求灵活工作方式的开发者提供全面的远程就业信息参考。,Python
https://github.com/EveryInc/compound-engineering-plugin,Compound Engineering Plugin提供了一套Claude代码开发增强插件，专注于架构评审和代码质量分析。它帮助开发团队在编码阶段就能发现潜在问题，提升软件工程质量。,TypeScript
https://github.com/liyupi/ai-guide,AI Guide是liyupi开源的AI应用开发指南，包含大模型应用实践、提示工程和AI产品设计等内容。项目结合实战案例帮助开发者快速构建AI驱动的产品。,Python
https://github.com/block/goose,Goose是Block（前Square）开源的本地AI工程代理，采用Rust语言编写确保内存安全。它不仅提供代码建议，还能直接执行安装、编辑和测试任务，支持多种大语言模型驱动，现已迁移至Linux基金会Agentic AI Foundation。,Rust
https://github.com/Asabeneh/30-Days-Of-Python,30 Days of Python是Asabeneh开发的30天Python编程学习教程，以循序渐进的方式覆盖从基础语法到高级应用的完整知识体系。内容包括变量、控制流、函数、模块、正则表达式和Pandas数据分析等主题。,Python
https://github.com/OpenBMB/UltraRAG,UltraRAG是OpenBMB开源的高级检索增强生成框架，专注于提升RAG系统的检索精度和生成质量。它提供多种检索策略和重排序算法，支持构建企业级知识问答系统。,Python
https://github.com/kubernetes/ingress-nginx,ingress-nginx是Kubernetes官方维护的NGINX Ingress控制器，用于管理集群外部到内部服务的HTTP路由。它提供基于NGINX的负载均衡、SSL终止和基于注解的请求转发功能。,Go
https://github.com/moltbot/moltbot,Moltbot是一个AI驱动的自动化机器人框架，支持构建对话式AI应用和工作流自动化。它提供灵活的插件系统和多渠道消息集成，适合开发客服机器人和流程自动化工具。,Python
https://github.com/reconurge/flowsint,Flowsint是一个工作流自动化框架，专注于简化复杂业务流程的编排和执行。它支持可视化流程设计和条件分支，适合构建企业级自动化解决方案。,Python
https://github.com/amantus-ai/vibetunnel,VibeTunnel是一个AI代理隧道服务，通过自然语言接口连接外部API和工具。它提供安全的消息路由和认证机制，方便在AI应用中集成第三方服务。,Python
https://github.com/j178/prek,Prek是一个轻量级的任务预取工具，用于加速重复性计算任务的执行。它通过智能缓存和预测执行减少等待时间，适合需要频繁运行相似任务的工作场景。,Go
